,UNITID,INSTNM,CITY,STABBR,ZIP,ADM_RATE,UGDS,TUITIONFEE_IN,MN_EARN_WNE_P10
3581,234085,Virginia Military Institute,Lexington,VA,24450-0304,0.513,1685.0,18862.0,
3582,234119,Virginia School of Hair Design,Hampton,VA,23669,,14.0,,
3583,234137,Virginia University of Lynchburg,Lynchburg,VA,24501,,233.0,9000.0,
3584,234155,Virginia State University,Petersburg,VA,23806,0.9109,3986.0,9056.0,
3585,234164,Virginia Union University,Richmond,VA,23220,0.4375,1132.0,17748.0,
3586,234173,Virginia Wesleyan University,Virginia Beach,VA,23455,0.7041,1302.0,36660.0,
3587,234207,Washington and Lee University,Lexington,VA,24450-2116,0.2116,1822.0,52455.0,
3588,234377,Wytheville Community College,Wytheville,VA,24382-3308,,1396.0,4725.0,
3871,246071,Career Technology Center of Lackawanna County,Scranton,PA,18508,,59.0,,
3898,248624,Fayette County Career & Technical Institute Practical Nursing Program,Uniontown,PA,15401,,88.0,,
3899,248633,Franklin County Career and Technology Center,Chambersburg,PA,17202,,74.0,,
3904,248934,ECPI University,Virginia Beach,VA,23462,0.7221,12567.0,16039.0,
3908,249609,Fortis Institute-Forty Fort,Forty Fort,PA,18704-2936,,164.0,13369.0,
3909,250027,Laurel Business Institute,Uniontown,PA,15401,1.0,230.0,10104.0,
3910,250285,Aviation Institute of Maintenance-Philadelphia,Philadelphia,PA,19114-1018,,300.0,16757.0,
3918,260363,Greene County Career and Technology Center,Waynesburg,PA,15370-8281,1.0,19.0,,
3935,261861,West Virginia Junior College-United Career Institute,Mount Braddock,PA,15465,,88.0,12292.0,
3955,363721,University of the District of Columbia-David A Clarke School of Law,Washington,DC,20008,,,,
3979,365383,Wilkes-Barre Area Career and Technical Center Practical Nursing,Wilkes Barre,PA,18705-0699,0.4025,165.0,,
3989,366252,Pennsylvania College of Technology,Williamsport,PA,17701-5799,,5289.0,16740.0,
3997,366438,Blades School of Hair Design,California,MD,20619,,75.0,,
4004,366632,Mercer County Career Center,Mercer,PA,16137,,16.0,,
4006,366793,Baptist Theological Seminary at Richmond,Henrico,VA,23228,,,,
4015,367431,Butler Beauty Academy-New Castle Beauty Academy,New Castle,PA,16101,,21.0,,
4025,368407,Western Area Career & Technology Center,Canonsburg,PA,15317,0.88,104.0,,
4043,369668,Central Pennsylvania Institute of Science and Technology,Pleasant Gap,PA,16823,,218.0,,
4072,373784,All-State Career-Baltimore,Baltimore,MD,21224,,539.0,,
4091,375939,YTI Career Institute-Altoona,Altoona,PA,16602,,39.0,,
4092,375966,Eastern Center for Arts and Technology,Willow Grove,PA,19090,1.0,55.0,,
4093,375984,Empire Beauty School-Center City Philadelphia,Philadelphia,PA,19102-2701,,300.0,,
4111,377449,Centura College-Newport News,Newport News,VA,23608,,126.0,15887.0,
4112,377458,Centura College-Norfolk,Norfolk,VA,23518-4833,,166.0,16337.0,
4113,377485,Virginia Beach City Public Schools School of Practical Nursing,Virginia Beach,VA,23456-2499,,33.0,,
4157,382957,Fortis College-Richmond,Richmond,VA,23230,,425.0,14552.0,
4166,383367,Greater Altoona Career & Technology Center,Altoona,PA,16602-3616,,320.0,,
4179,384412,University of the Potomac-Washington DC Campus,Washington,DC,20005,,68.0,15984.0,
4182,385503,Fortis Institute-Scranton,Scranton,PA,18509-2903,,288.0,28802.0,
4237,405872,Carroll Community College,Westminster,MD,21157,,2441.0,4128.0,
4244,406413,DCI Career Institute,Monaca,PA,15061,,43.0,,
4245,406422,Central Susquehanna Intermediate Unit LPN Career,Lewisburg,PA,17837,0.4762,83.0,,
4269,407629,Lake Erie College of Osteopathic Medicine,Erie,PA,16509-1025,,6.0,,
4277,408729,Laurel Technical Institute,MEADVILLE,PA,16335,0.9625,114.0,10104.0,
4313,414540,Jean Madeline Aveda Institute,Philadelphia,PA,19147,,275.0,,
4318,414911,Pennsylvania Highlands Community College,Johnstown,PA,15904-2949,,1029.0,5820.0,
4321,415039,Empire Beauty School-Hanover,Hanover,PA,17331,,74.0,,
4352,417840,Prism Career Institute-Philadelphia,Philadelphia,PA,19152,,77.0,,
4379,418409,York County School of Technology-Adult & Continuing Education,York,PA,17402-4696,,149.0,,
4380,418427,Chester County Intermediate Unit,Downingtown,PA,19335,0.9706,111.0,,
4381,418445,Jefferson County Dubois Area Vocational Technical Practical Nursing Program,Reynoldsville,PA,15851,0.8182,21.0,,
4382,418454,Greater Johnstown Career and Technology Center,Johnstown,PA,15904-2998,,209.0,,
4383,418481,Mifflin County Academy of Science and Technology,Lewistown,PA,17044-1697,0.8485,52.0,,
4384,418515,Lenape Technical School Practical Nursing Program,Ford City,PA,16226,,134.0,,
4385,418524,Venango County Area Vocational Technical School,Oil City,PA,16301,,62.0,,
4386,418533,Lancaster County Career and Technology Center,Willow Street,PA,17584,,348.0,,
4387,418542,Lebanon County Area Vocational Technical School,Lebanon,PA,17042,,192.0,,
4388,418560,Indiana County Technology Center,Indiana,PA,15701-1465,,85.0,,
4389,418588,Northern Tier Career Center,Towanda,PA,18848-9731,0.7209,35.0,,
4390,418603,Clarion County Career Center Practical Nursing Program,Shippenville,PA,16254-8975,1.0,43.0,,
4391,418612,Hazleton Area Career Center,Hazle TWP.,PA,18202,,15.0,,
4392,418658,All-State Career School-Pittsburgh,West Mifflin,PA,15122,,264.0,,
4410,419332,Forbes Road Career and Technology Center,Monroeville,PA,15146,,9.0,,
4411,419341,Jna Institute of Culinary Arts,Philadelphia,PA,19146,,36.0,14575.0,
4414,419484,Crawford County Career and Technical Center Practical Nursing Program,Meadville,PA,16335,,26.0,,
4420,420024,Centura College-Chesapeake,Chesapeake,VA,23320,,157.0,16637.0,
4428,420370,Career Technical Institute,Washington,DC,20005,,323.0,,
4464,427894,CET-Alexandria,Alexandria,VA,22312,,103.0,,
4465,427973,Aviation Institute of Maintenance-Chesapeake,Chesapeake,VA,23320,,239.0,16757.0,
4466,427982,Centura College-Richmond Main,Richmond,VA,23235-5250,,33.0,16337.0,
4480,430184,Strayer University-Maryland,Suitland,MD,20746,,2557.0,13380.0,
4482,430227,Empire Beauty School-Monroeville,Monroeville,PA,15146-2229,,91.0,,
4484,430306,Cayce/Reilly School of Massage,Virginia Beach,VA,23451,,24.0,,
4494,430908,Clearfield County Career and Technology Center,Clearfield,PA,16830,,61.0,,
4496,430971,Delaware County Technical School-Practical Nursing Program,Broomall,PA,19008,1.0,43.0,,
4506,431266,Henrico County-Saint Marys Hospital School of Practical Nursing,Henrico,VA,23294,0.8537,123.0,,
4510,431600,UPMC Mercy School of Nursing,Pittsburgh,PA,15219-5166,0.6818,173.0,15315.0,
4520,432348,Appalachian School of Law,Grundy,VA,24614-2825,,,,
4522,432524,Delaware College of Art and Design,Wilmington,DE,19801-3007,0.7606,109.0,25710.0,
4543,434308,Cortiva Institute-Baltimore,Linthicum,MD,21090,,335.0,,
4553,434672,Community College of Baltimore County,Baltimore,MD,21237,,16784.0,4276.0,
4559,434937,Yeshiva College of the Nations Capital,Silver  Spring,MD,20902,,21.0,10500.0,
4563,436030,Hair Academy II,Hillcrest Heights,MD,20748-1401,,212.0,,
4579,437097,University of Management and Technology,Arlington,VA,22209-1609,,318.0,9450.0,
4591,437769,Chester Career College,CHESTER,VA,23836,,171.0,,
4597,438221,Platt College-McCann-Lewisburg,Lewisburg,PA,17837,,318.0,,
4601,438498,Stratford University,Fairfax,VA,22030,,1791.0,15135.0,
4619,439473,Bennett Career Institute,Washington,DC,20017,,293.0,,
4647,440217,Huntingdon County Career and Technology Center,Mill Creek,PA,17060,,43.0,,
4675,441362,Harris School of Business-Wilmington Campus,Wilmington,DE,19803,,158.0,,
4692,441672,Susquehanna County Career and Technology Center,Springville,PA,18844,,65.0,,
4699,441858,Eastern Virginia Career College,Fredericksburg,VA,22408,0.4,235.0,,
4700,441876,Rudy & Kelly Academy-A Paul Mitchell Partner School,Virginia Beach,VA,23464,,211.0,,
4704,442064,Won Institute of Graduate Studies,Glenside,PA,19038-4535,,,,
4712,442356,Pennsylvania College of Health Sciences,Lancaster,PA,17601,0.7441,1588.0,28412.0,
4721,442639,University of the Potomac-VA Campus,FALLS CHURCH,VA,22043-2536,,43.0,15804.0,
4725,442806,Edward Via College of Osteopathic Medicine,Blacksburg,VA,24060,,,,
4756,443377,Triangle Tech Inc-Sunbury,Sunbury,PA,17801,,78.0,17427.0,
4772,443784,Strayer University-Pennsylvania,Trevose,PA,19053,,1927.0,13380.0,
4777,444103,Byzantine Catholic Seminary of Saints Cyril and Methodius,Pittsburgh,PA,15214-2229,,,,
4780,444200,Harris School of Business-Dover Campus,Dover,DE,19901,,204.0,,
4785,444282,Empire Beauty School-Midlothian,Midlothian,VA,23112,,50.0,,
4786,444291,Empire Beauty School-Owings Mills,Owings Mills,MD,21117,,71.0,,
4787,444307,Empire Beauty School-West Mifflin,West Mifflin,PA,15122,,55.0,,
4817,444811,PITC Institute,Wyncote,PA,19095,,206.0,,
4820,444893,Technical Learning Centers Inc,Washington,DC,20006-5540,,219.0,,
4848,445762,Aviation Institute of Maintenance-Manassas,Manassas,VA,20109,,188.0,16757.0,
4850,445799,Universal Technical Institute of Pennsylvania Inc,Exton,PA,19341,,1086.0,,
4853,445869,Divine Mercy University,Sterling,VA,20166,,,,
4867,446206,Culpeper Cosmetology Training Center,Culpeper,VA,22701-1055,,26.0,,
4877,446394,Maple Springs Baptist Bible College and Seminary,Capitol Heights,MD,20743,,27.0,5400.0,
4878,446455,Precision Manufacturing Institute,Meadville,PA,16335,,31.0,15662.0,
4887,446640,Harrisburg University of Science and Technology,Harrisburg,PA,17101-2208,,565.0,23900.0,
4890,446996,Chambersburg Beauty School,Chambersburg,PA,17201,,60.0,,
4931,447971,Hair Expressions Academy,Rockville,MD,20852,,103.0,,
4944,448257,Avi Career Training,Great Falls,VA,22066,,25.0,,
4955,448691,International Institute for Restorative Practices,Bethlehem,PA,18018,,,,
4959,448770,Automotive Training Center-Warminster,Warminster,PA,18974,,304.0,,
4962,448859,Triangle Tech Inc-Bethlehem,Bethlehem,PA,18017,,134.0,17427.0,
4985,449472,Delaware Learning Institute of Cosmetology,Dagsboro,DE,19939,,49.0,,
5006,449834,Virginia Beach Theological Seminary,Virginia Beach,VA,23464-6847,,0.0,,
5012,449922,Appalachian College of Pharmacy,Oakwood,VA,24631,,,,
5013,449931,Averett University-Non-Traditional Programs,Danville,VA,24541,0.3333,292.0,11520.0,
5018,449995,Paul Mitchell the School-Tysons Corner,McLean,VA,22102,,189.0,,
5025,450298,Strayer University-Delaware,Newark,DE,19713,,291.0,13380.0,
5031,450599,Empire Beauty School-Richmond,Richmond,VA,23294,,59.0,,
5032,450605,Empire Beauty School-North Hills,Pittsburgh,PA,15237,,79.0,,
5049,451051,Academy of Massage and Bodywork,Bear,DE,19701,,83.0,,
5075,451495,CDE Career Institute,Tannersville,PA,18372,,73.0,,
5096,451909,Fortis College-Landover,Landover,MD,20785-2223,,541.0,14911.0,
5153,455017,Frederick School of Cosmetology,Frederick,MD,21701,,22.0,,
5154,455026,Omega Studios' School of Applied Recording Arts & Sciences,Rockville,MD,20852,,107.0,,
5193,455804,Institute of World Politics,Washington,DC,20036,,,,
5194,455813,Pontifical John Paul II Institute for Studies on Marriage and Family,Washington,DC,20064,,,,
5202,455901,The Temple-A Paul Mitchell Partner School,Frederick,MD,21701,,222.0,,
5208,455983,Columbia College,Vienna,VA,22182,,355.0,,
5227,456542,Geisinger Commonwealth School of Medicine,Scranton,PA,18509,,,,
5230,456579,Platt College-McCann-Allentown,Allentown,PA,18109,,704.0,,
5306,457943,Somerset County Technology Center,Somerset,PA,15501-4309,,62.0,,
5307,457952,Metro Beauty Academy,Allentown,PA,18106,,148.0,,
5319,458113,Bethel College,Hampton,VA,23666,,31.0,8420.0,
5320,458122,Institute of Advanced Medical Esthetics,Ashland,VA,23005-2111,,20.0,,
5333,458496,The Art Institute of Virginia Beach,Virginia Beach,VA,23462,,307.0,17496.0,
5339,458830,Empire Beauty School-Springfield,Springfield,PA,19064,,127.0,,
5355,459082,Virginia Polytechnic Institute & State University,Roanoke,VA,24016-4950,,,,
5356,459107,Bryant & Stratton College-Hampton,Hampton,VA,23666,,331.0,17460.0,
5366,459259,South University-Richmond,Glen Allen,VA,23060,,379.0,17014.0,
5367,459268,South University-Virginia Beach,Virginia Beach,VA,23452,,369.0,17014.0,
5371,459301,Paul Mitchell the School-Delaware,Newark,DE,19702,,127.0,,
5390,459745,The Chicago School of Professional Psychology at Washington DC,Washington,DC,20005,,,,
5398,459994,Strayer University-Global Region,Washington,DC,20005,,6658.0,13380.0,
5413,460376,Fairfax University of America,Fairfax,VA,22030-0000,0.5556,49.0,10328.0,
5414,460385,Geisinger-Lewistown Hospital School of Nursing,Lewistown,PA,17044,0.5205,51.0,18330.0,
5426,460598,Harris School of Business-Upper Darby Campus,Upper Darby,PA,19082,,206.0,,
